category	over_represented_pvalue	qvalue	numDEInCat	numInCat	term	ontology	DE_id
GO:0005615	1.36205158264402e-39	6.77212046890608e-36	199	966	extracellular space	CC	ENSSSCG00000014921,ENSSSCG00000009545,ENSSSCG00000016856,ENSSSCG00000004578,ENSSSCG00000000660,ENSSSCG00000007463,ENSSSCG00000028022,ENSSSCG00000023784,ENSSSCG00000032094,ENSSSCG00000002829,ENSSSCG00000024252,ENSSSCG00000003582,ENSSSCG00000009004,ENSSSCG00000015067,ENSSSCG00000015069,ENSSSCG00000003344,ENSSSCG00000003694,ENSSSCG00000003524,ENSSSCG00000011959,ENSSSCG00000008073,ENSSSCG00000013551,ENSSSCG00000022230,ENSSSCG00000037102,ENSSSCG00000004425,ENSSSCG00000035419,ENSSSCG00000016754,ENSSSCG00000013370,ENSSSCG00000001089,ENSSSCG00000024402,ENSSSCG00000013514,ENSSSCG00000035436,ENSSSCG00000011799,ENSSSCG00000000915,ENSSSCG00000000916,ENSSSCG00000037358,ENSSSCG00000007170,ENSSSCG00000039426,ENSSSCG00000006403,ENSSSCG00000015493,ENSSSCG00000035392,ENSSSCG00000012971,ENSSSCG00000015799,ENSSSCG00000011377,ENSSSCG00000036363,ENSSSCG00000008997,ENSSSCG00000034607,ENSSSCG00000005494,ENSSSCG00000021328,ENSSSCG00000007032,ENSSSCG00000008522,ENSSSCG00000036135,ENSSSCG00000023686,ENSSSCG00000015535,ENSSSCG00000002749,ENSSSCG00000027466,ENSSSCG00000004195,ENSSSCG00000031712,ENSSSCG00000017012,ENSSSCG00000010545,ENSSSCG00000006624,ENSSSCG00000024314,ENSSSCG00000033608,ENSSSCG00000017904,ENSSSCG00000031866,ENSSSCG00000000368,ENSSSCG00000011609,ENSSSCG00000035299,ENSSSCG00000040689,ENSSSCG00000011386,ENSSSCG00000005785,ENSSSCG00000004789,ENSSSCG00000009413,ENSSSCG00000012711,ENSSSCG00000005030,ENSSSCG00000017258,ENSSSCG00000013665,ENSSSCG00000040629,ENSSSCG00000031274,ENSSSCG00000015332,ENSSSCG00000028350,ENSSSCG00000006578,ENSSSCG00000010190,ENSSSCG00000011640,ENSSSCG00000016034,ENSSSCG00000016035,ENSSSCG00000037268,ENSSSCG00000006651,ENSSSCG00000013252,ENSSSCG00000016200,ENSSSCG00000027609,ENSSSCG00000011806,ENSSSCG00000011802,ENSSSCG00000004001,ENSSSCG00000008965,ENSSSCG00000013408,ENSSSCG00000007435,ENSSSCG00000033854,ENSSSCG00000004484,ENSSSCG00000010816,ENSSSCG00000011496,ENSSSCG00000014626,ENSSSCG00000017137,ENSSSCG00000008397,ENSSSCG00000005045,ENSSSCG00000005512,ENSSSCG00000038745,ENSSSCG00000008948,ENSSSCG00000035066,ENSSSCG00000039378,ENSSSCG00000005751,ENSSSCG00000039573,ENSSSCG00000021208,ENSSSCG00000000261,ENSSSCG00000007642,ENSSSCG00000002684,ENSSSCG00000030371,ENSSSCG00000000675,ENSSSCG00000011538,ENSSSCG00000003514,ENSSSCG00000014117,ENSSSCG00000040910,ENSSSCG00000012960,ENSSSCG00000011700,ENSSSCG00000023796,ENSSSCG00000025020,ENSSSCG00000038783,ENSSSCG00000029533,ENSSSCG00000024043,ENSSSCG00000039103,ENSSSCG00000032343,ENSSSCG00000033760,ENSSSCG00000002481,ENSSSCG00000002483,ENSSSCG00000002486,ENSSSCG00000002487,ENSSSCG00000010093,ENSSSCG00000015661,ENSSSCG00000028203,ENSSSCG00000028758,ENSSSCG00000009668,ENSSSCG00000029570,ENSSSCG00000004596,ENSSSCG00000012022,ENSSSCG00000003819,ENSSSCG00000027801,ENSSSCG00000010258,ENSSSCG00000007739,ENSSSCG00000005608,ENSSSCG00000003600,ENSSSCG00000011440,ENSSSCG00000009222,ENSSSCG00000005488,ENSSSCG00000005485,ENSSSCG00000003086,ENSSSCG00000008854,ENSSSCG00000039874,ENSSSCG00000001959,ENSSSCG00000031538,ENSSSCG00000009134,ENSSSCG00000009138,ENSSSCG00000004180,ENSSSCG00000012547,ENSSSCG00000027331,ENSSSCG00000015896,ENSSSCG00000020963,ENSSSCG00000001910,ENSSSCG00000029324,ENSSSCG00000015522,ENSSSCG00000000133,ENSSSCG00000022447,ENSSSCG00000002475,ENSSSCG00000002476,ENSSSCG00000002479,ENSSSCG00000016728,ENSSSCG00000032556,ENSSSCG00000032761,ENSSSCG00000040631,ENSSSCG00000006355,ENSSSCG00000023611,ENSSSCG00000015326,ENSSSCG00000009526,ENSSSCG00000017164,ENSSSCG00000011831,ENSSSCG00000004928,ENSSSCG00000011928,ENSSSCG00000006533,ENSSSCG00000017082,ENSSSCG00000004012,ENSSSCG00000008950,ENSSSCG00000026067,ENSSSCG00000005267,ENSSSCG00000014369,ENSSSCG00000014362,ENSSSCG00000038162,ENSSSCG00000009565,ENSSSCG00000005380,ENSSSCG00000010479,ENSSSCG00000004658,ENSSSCG00000004038
GO:0070062	3.88264396904556e-39	9.65225290704726e-36	337	1984	extracellular exosome	CC	ENSSSCG00000006693,ENSSSCG00000010313,ENSSSCG00000014921,ENSSSCG00000015894,ENSSSCG00000009545,ENSSSCG00000030361,ENSSSCG00000016856,ENSSSCG00000016859,ENSSSCG00000004578,ENSSSCG00000000660,ENSSSCG00000023371,ENSSSCG00000021579,ENSSSCG00000028022,ENSSSCG00000014108,ENSSSCG00000023784,ENSSSCG00000015413,ENSSSCG00000016290,ENSSSCG00000002642,ENSSSCG00000001595,ENSSSCG00000003582,ENSSSCG00000015069,ENSSSCG00000003344,ENSSSCG00000003524,ENSSSCG00000003834,ENSSSCG00000003835,ENSSSCG00000020785,ENSSSCG00000023142,ENSSSCG00000008073,ENSSSCG00000013554,ENSSSCG00000013551,ENSSSCG00000022230,ENSSSCG00000034811,ENSSSCG00000009405,ENSSSCG00000010144,ENSSSCG00000010142,ENSSSCG00000023084,ENSSSCG00000005943,ENSSSCG00000028996,ENSSSCG00000021411,ENSSSCG00000017759,ENSSSCG00000003183,ENSSSCG00000035419,ENSSSCG00000016754,ENSSSCG00000004169,ENSSSCG00000001089,ENSSSCG00000014088,ENSSSCG00000035170,ENSSSCG00000009889,ENSSSCG00000027550,ENSSSCG00000022009,ENSSSCG00000003789,ENSSSCG00000036307,ENSSSCG00000013514,ENSSSCG00000003463,ENSSSCG00000011799,ENSSSCG00000035893,ENSSSCG00000040735,ENSSSCG00000016364,ENSSSCG00000000916,ENSSSCG00000009631,ENSSSCG00000000003,ENSSSCG00000015545,ENSSSCG00000015555,ENSSSCG00000039426,ENSSSCG00000006403,ENSSSCG00000015493,ENSSSCG00000005840,ENSSSCG00000008041,ENSSSCG00000035392,ENSSSCG00000012971,ENSSSCG00000000972,ENSSSCG00000005614,ENSSSCG00000001930,ENSSSCG00000010132,ENSSSCG00000015799,ENSSSCG00000000856,ENSSSCG00000025560,ENSSSCG00000004875,ENSSSCG00000011377,ENSSSCG00000028113,ENSSSCG00000028115,ENSSSCG00000008997,ENSSSCG00000023728,ENSSSCG00000002557,ENSSSCG00000016323,ENSSSCG00000008540,ENSSSCG00000034607,ENSSSCG00000008013,ENSSSCG00000011450,ENSSSCG00000023915,ENSSSCG00000021328,ENSSSCG00000007032,ENSSSCG00000031174,ENSSSCG00000008601,ENSSSCG00000010008,ENSSSCG00000023215,ENSSSCG00000001008,ENSSSCG00000001411,ENSSSCG00000011033,ENSSSCG00000011435,ENSSSCG00000023686,ENSSSCG00000015535,ENSSSCG00000025686,ENSSSCG00000010116,ENSSSCG00000015203,ENSSSCG00000016720,ENSSSCG00000027466,ENSSSCG00000010060,ENSSSCG00000004195,ENSSSCG00000004822,ENSSSCG00000032282,ENSSSCG00000015084,ENSSSCG00000006624,ENSSSCG00000024314,ENSSSCG00000017904,ENSSSCG00000029949,ENSSSCG00000029944,ENSSSCG00000004973,ENSSSCG00000031866,ENSSSCG00000011609,ENSSSCG00000009699,ENSSSCG00000005166,ENSSSCG00000040689,ENSSSCG00000010026,ENSSSCG00000008556,ENSSSCG00000004789,ENSSSCG00000003780,ENSSSCG00000009413,ENSSSCG00000012711,ENSSSCG00000005030,ENSSSCG00000017258,ENSSSCG00000007039,ENSSSCG00000013663,ENSSSCG00000031274,ENSSSCG00000015844,ENSSSCG00000023235,ENSSSCG00000015332,ENSSSCG00000028350,ENSSSCG00000006578,ENSSSCG00000010190,ENSSSCG00000011640,ENSSSCG00000012848,ENSSSCG00000025128,ENSSSCG00000024520,ENSSSCG00000032787,ENSSSCG00000029411,ENSSSCG00000026962,ENSSSCG00000015926,ENSSSCG00000037268,ENSSSCG00000011128,ENSSSCG00000022804,ENSSSCG00000013252,ENSSSCG00000022739,ENSSSCG00000021129,ENSSSCG00000035335,ENSSSCG00000027609,ENSSSCG00000020657,ENSSSCG00000016328,ENSSSCG00000017232,ENSSSCG00000011800,ENSSSCG00000011801,ENSSSCG00000011802,ENSSSCG00000008214,ENSSSCG00000004001,ENSSSCG00000033854,ENSSSCG00000004484,ENSSSCG00000003722,ENSSSCG00000014626,ENSSSCG00000007602,ENSSSCG00000017137,ENSSSCG00000008397,ENSSSCG00000005512,ENSSSCG00000001873,ENSSSCG00000011683,ENSSSCG00000038745,ENSSSCG00000008948,ENSSSCG00000021084,ENSSSCG00000000253,ENSSSCG00000000252,ENSSSCG00000035066,ENSSSCG00000005701,ENSSSCG00000021867,ENSSSCG00000025770,ENSSSCG00000039378,ENSSSCG00000032607,ENSSSCG00000005751,ENSSSCG00000039573,ENSSSCG00000021067,ENSSSCG00000039148,ENSSSCG00000021208,ENSSSCG00000000261,ENSSSCG00000003766,ENSSSCG00000009931,ENSSSCG00000015407,ENSSSCG00000015402,ENSSSCG00000002684,ENSSSCG00000000675,ENSSSCG00000003514,ENSSSCG00000013022,ENSSSCG00000040681,ENSSSCG00000021227,ENSSSCG00000024476,ENSSSCG00000014117,ENSSSCG00000014111,ENSSSCG00000003410,ENSSSCG00000040910,ENSSSCG00000012960,ENSSSCG00000011700,ENSSSCG00000038783,ENSSSCG00000015200,ENSSSCG00000016861,ENSSSCG00000039103,ENSSSCG00000014255,ENSSSCG00000022945,ENSSSCG00000033760,ENSSSCG00000002481,ENSSSCG00000037918,ENSSSCG00000010093,ENSSSCG00000002815,ENSSSCG00000013545,ENSSSCG00000028758,ENSSSCG00000009668,ENSSSCG00000008595,ENSSSCG00000023526,ENSSSCG00000038300,ENSSSCG00000007507,ENSSSCG00000029570,ENSSSCG00000012022,ENSSSCG00000028889,ENSSSCG00000038660,ENSSSCG00000032446,ENSSSCG00000027801,ENSSSCG00000023749,ENSSSCG00000008101,ENSSSCG00000001817,ENSSSCG00000030260,ENSSSCG00000000712,ENSSSCG00000011254,ENSSSCG00000012294,ENSSSCG00000007739,ENSSSCG00000016315,ENSSSCG00000000385,ENSSSCG00000000033,ENSSSCG00000005608,ENSSSCG00000003600,ENSSSCG00000011440,ENSSSCG00000013337,ENSSSCG00000009222,ENSSSCG00000035906,ENSSSCG00000006040,ENSSSCG00000005485,ENSSSCG00000003086,ENSSSCG00000008854,ENSSSCG00000002283,ENSSSCG00000001959,ENSSSCG00000027472,ENSSSCG00000020758,ENSSSCG00000001549,ENSSSCG00000036724,ENSSSCG00000028923,ENSSSCG00000004510,ENSSSCG00000018041,ENSSSCG00000031538,ENSSSCG00000013667,ENSSSCG00000009134,ENSSSCG00000004181,ENSSSCG00000010947,ENSSSCG00000037416,ENSSSCG00000012547,ENSSSCG00000027331,ENSSSCG00000020963,ENSSSCG00000025652,ENSSSCG00000001910,ENSSSCG00000025876,ENSSSCG00000015522,ENSSSCG00000000133,ENSSSCG00000000138,ENSSSCG00000005308,ENSSSCG00000037446,ENSSSCG00000002009,ENSSSCG00000022447,ENSSSCG00000012985,ENSSSCG00000039512,ENSSSCG00000002475,ENSSSCG00000002476,ENSSSCG00000002355,ENSSSCG00000031261,ENSSSCG00000001025,ENSSSCG00000009870,ENSSSCG00000008504,ENSSSCG00000002269,ENSSSCG00000004643,ENSSSCG00000013622,ENSSSCG00000035983,ENSSSCG00000032556,ENSSSCG00000009097,ENSSSCG00000005095,ENSSSCG00000032431,ENSSSCG00000040397,ENSSSCG00000012852,ENSSSCG00000032761,ENSSSCG00000040631,ENSSSCG00000006355,ENSSSCG00000015326,ENSSSCG00000013244,ENSSSCG00000015567,ENSSSCG00000017164,ENSSSCG00000011831,ENSSSCG00000033010,ENSSSCG00000004928,ENSSSCG00000008976,ENSSSCG00000006533,ENSSSCG00000006535,ENSSSCG00000015835,ENSSSCG00000010537,ENSSSCG00000010826,ENSSSCG00000034896,ENSSSCG00000002884,ENSSSCG00000022725,ENSSSCG00000016519,ENSSSCG00000004679,ENSSSCG00000004672,ENSSSCG00000008950,ENSSSCG00000006556,ENSSSCG00000004241,ENSSSCG00000005267,ENSSSCG00000014369,ENSSSCG00000033190,ENSSSCG00000009565,ENSSSCG00000015701,ENSSSCG00000027926,ENSSSCG00000011698,ENSSSCG00000000600,ENSSSCG00000005380,ENSSSCG00000010479,ENSSSCG00000004658,ENSSSCG00000004038
GO:0031012	1.67306638196017e-30	2.77282868370199e-27	87	251	extracellular matrix	CC	ENSSSCG00000009545,ENSSSCG00000004578,ENSSSCG00000028022,ENSSSCG00000002829,ENSSSCG00000015069,ENSSSCG00000003344,ENSSSCG00000003694,ENSSSCG00000011959,ENSSSCG00000008073,ENSSSCG00000004425,ENSSSCG00000035419,ENSSSCG00000016754,ENSSSCG00000033327,ENSSSCG00000035952,ENSSSCG00000011799,ENSSSCG00000016364,ENSSSCG00000000915,ENSSSCG00000000916,ENSSSCG00000015555,ENSSSCG00000001930,ENSSSCG00000011377,ENSSSCG00000034607,ENSSSCG00000005494,ENSSSCG00000011033,ENSSSCG00000036135,ENSSSCG00000027466,ENSSSCG00000031712,ENSSSCG00000033608,ENSSSCG00000031866,ENSSSCG00000000368,ENSSSCG00000011609,ENSSSCG00000040689,ENSSSCG00000005785,ENSSSCG00000004789,ENSSSCG00000005030,ENSSSCG00000016034,ENSSSCG00000016035,ENSSSCG00000037268,ENSSSCG00000020657,ENSSSCG00000038713,ENSSSCG00000011802,ENSSSCG00000004001,ENSSSCG00000033854,ENSSSCG00000004484,ENSSSCG00000010816,ENSSSCG00000011496,ENSSSCG00000003722,ENSSSCG00000008397,ENSSSCG00000001873,ENSSSCG00000035066,ENSSSCG00000005751,ENSSSCG00000039573,ENSSSCG00000039148,ENSSSCG00000002684,ENSSSCG00000011538,ENSSSCG00000003514,ENSSSCG00000014117,ENSSSCG00000040910,ENSSSCG00000033760,ENSSSCG00000009668,ENSSSCG00000029570,ENSSSCG00000012278,ENSSSCG00000027801,ENSSSCG00000003592,ENSSSCG00000000712,ENSSSCG00000037376,ENSSSCG00000016315,ENSSSCG00000003600,ENSSSCG00000003603,ENSSSCG00000006474,ENSSSCG00000005485,ENSSSCG00000034440,ENSSSCG00000010071,ENSSSCG00000013667,ENSSSCG00000027331,ENSSSCG00000022447,ENSSSCG00000012985,ENSSSCG00000001025,ENSSSCG00000032761,ENSSSCG00000004207,ENSSSCG00000015326,ENSSSCG00000017164,ENSSSCG00000004928,ENSSSCG00000004012,ENSSSCG00000006088,ENSSSCG00000005380,ENSSSCG00000004658
GO:0005576	3.45515163571728e-27	4.29475348319658e-24	130	670	extracellular region	CC	ENSSSCG00000015894,ENSSSCG00000009545,ENSSSCG00000029503,ENSSSCG00000004578,ENSSSCG00000000660,ENSSSCG00000028022,ENSSSCG00000008468,ENSSSCG00000024252,ENSSSCG00000030921,ENSSSCG00000009004,ENSSSCG00000015067,ENSSSCG00000015069,ENSSSCG00000003344,ENSSSCG00000003694,ENSSSCG00000003524,ENSSSCG00000011959,ENSSSCG00000013551,ENSSSCG00000016754,ENSSSCG00000013370,ENSSSCG00000001089,ENSSSCG00000024402,ENSSSCG00000013512,ENSSSCG00000013514,ENSSSCG00000035436,ENSSSCG00000011799,ENSSSCG00000016364,ENSSSCG00000000915,ENSSSCG00000000916,ENSSSCG00000022390,ENSSSCG00000006403,ENSSSCG00000035392,ENSSSCG00000015799,ENSSSCG00000023728,ENSSSCG00000034607,ENSSSCG00000005494,ENSSSCG00000007032,ENSSSCG00000001411,ENSSSCG00000036135,ENSSSCG00000023686,ENSSSCG00000002749,ENSSSCG00000027466,ENSSSCG00000017012,ENSSSCG00000032282,ENSSSCG00000005593,ENSSSCG00000011609,ENSSSCG00000040689,ENSSSCG00000004789,ENSSSCG00000012711,ENSSSCG00000013665,ENSSSCG00000015332,ENSSSCG00000006578,ENSSSCG00000011640,ENSSSCG00000016034,ENSSSCG00000010529,ENSSSCG00000037268,ENSSSCG00000013252,ENSSSCG00000027609,ENSSSCG00000020657,ENSSSCG00000011806,ENSSSCG00000011800,ENSSSCG00000011801,ENSSSCG00000011802,ENSSSCG00000004001,ENSSSCG00000013408,ENSSSCG00000033854,ENSSSCG00000004484,ENSSSCG00000010816,ENSSSCG00000014626,ENSSSCG00000008397,ENSSSCG00000005045,ENSSSCG00000005512,ENSSSCG00000011683,ENSSSCG00000008948,ENSSSCG00000021084,ENSSSCG00000024914,ENSSSCG00000039378,ENSSSCG00000005751,ENSSSCG00000000261,ENSSSCG00000009558,ENSSSCG00000002684,ENSSSCG00000024791,ENSSSCG00000003514,ENSSSCG00000014117,ENSSSCG00000040910,ENSSSCG00000025020,ENSSSCG00000038783,ENSSSCG00000039103,ENSSSCG00000032343,ENSSSCG00000033760,ENSSSCG00000010639,ENSSSCG00000010093,ENSSSCG00000028203,ENSSSCG00000009668,ENSSSCG00000008595,ENSSSCG00000004596,ENSSSCG00000027801,ENSSSCG00000000712,ENSSSCG00000016315,ENSSSCG00000009222,ENSSSCG00000005488,ENSSSCG00000005485,ENSSSCG00000023693,ENSSSCG00000023909,ENSSSCG00000010291,ENSSSCG00000025924,ENSSSCG00000008700,ENSSSCG00000008723,ENSSSCG00000026425,ENSSSCG00000027331,ENSSSCG00000020963,ENSSSCG00000012985,ENSSSCG00000011110,ENSSSCG00000008504,ENSSSCG00000016728,ENSSSCG00000015116,ENSSSCG00000006355,ENSSSCG00000023611,ENSSSCG00000015326,ENSSSCG00000017164,ENSSSCG00000011831,ENSSSCG00000017082,ENSSSCG00000023498,ENSSSCG00000004012,ENSSSCG00000008950,ENSSSCG00000014362,ENSSSCG00000038162,ENSSSCG00000009565,ENSSSCG00000010479,ENSSSCG00000004658,ENSSSCG00000004038
GO:0030018	6.6305285440058e-21	6.59339758415937e-18	36	67	Z disc	CC	ENSSSCG00000037954,ENSSSCG00000010860,ENSSSCG00000022209,ENSSSCG00000020785,ENSSSCG00000010144,ENSSSCG00000010142,ENSSSCG00000003156,ENSSSCG00000015796,ENSSSCG00000003218,ENSSSCG00000029311,ENSSSCG00000032838,ENSSSCG00000003693,ENSSSCG00000030681,ENSSSCG00000010303,ENSSSCG00000010304,ENSSSCG00000000252,ENSSSCG00000009957,ENSSSCG00000028052,ENSSSCG00000003768,ENSSSCG00000000866,ENSSSCG00000016397,ENSSSCG00000005981,ENSSSCG00000006174,ENSSSCG00000038323,ENSSSCG00000017500,ENSSSCG00000036948,ENSSSCG00000009172,ENSSSCG00000013354,ENSSSCG00000001959,ENSSSCG00000002029,ENSSSCG00000036724,ENSSSCG00000015747,ENSSSCG00000009111,ENSSSCG00000015917,ENSSSCG00000014324,ENSSSCG00000003644
GO:0072562	5.06151667842172e-18	4.19431015418546e-15	34	73	blood microparticle	CC	ENSSSCG00000016856,ENSSSCG00000000660,ENSSSCG00000015067,ENSSSCG00000003835,ENSSSCG00000013551,ENSSSCG00000011799,ENSSSCG00000015493,ENSSSCG00000005840,ENSSSCG00000008997,ENSSSCG00000011450,ENSSSCG00000024314,ENSSSCG00000040689,ENSSSCG00000015332,ENSSSCG00000010190,ENSSSCG00000011640,ENSSSCG00000025128,ENSSSCG00000037268,ENSSSCG00000011128,ENSSSCG00000013252,ENSSSCG00000027609,ENSSSCG00000011801,ENSSSCG00000011802,ENSSSCG00000004001,ENSSSCG00000014626,ENSSSCG00000038745,ENSSSCG00000008948,ENSSSCG00000000675,ENSSSCG00000011700,ENSSSCG00000009668,ENSSSCG00000027801,ENSSSCG00000005485,ENSSSCG00000006355,ENSSSCG00000008950,ENSSSCG00000004038
GO:0055114	3.78741359397874e-15	2.69014576989461e-12	96	513	oxidation-reduction process	BP	ENSSSCG00000007463,ENSSSCG00000016199,ENSSSCG00000027525,ENSSSCG00000004093,ENSSSCG00000028996,ENSSSCG00000015616,ENSSSCG00000002496,ENSSSCG00000023320,ENSSSCG00000011978,ENSSSCG00000004454,ENSSSCG00000006702,ENSSSCG00000000681,ENSSSCG00000009889,ENSSSCG00000009184,ENSSSCG00000009182,ENSSSCG00000000856,ENSSSCG00000011477,ENSSSCG00000004875,ENSSSCG00000028115,ENSSSCG00000003138,ENSSSCG00000027854,ENSSSCG00000000046,ENSSSCG00000011456,ENSSSCG00000003891,ENSSSCG00000023211,ENSSSCG00000023215,ENSSSCG00000003158,ENSSSCG00000017690,ENSSSCG00000008522,ENSSSCG00000009805,ENSSSCG00000015535,ENSSSCG00000025686,ENSSSCG00000002296,ENSSSCG00000008868,ENSSSCG00000004822,ENSSSCG00000010546,ENSSSCG00000001901,ENSSSCG00000029944,ENSSSCG00000015872,ENSSSCG00000009699,ENSSSCG00000003491,ENSSSCG00000017383,ENSSSCG00000003780,ENSSSCG00000015844,ENSSSCG00000005740,ENSSSCG00000022092,ENSSSCG00000024109,ENSSSCG00000026554,ENSSSCG00000022351,ENSSSCG00000015356,ENSSSCG00000021067,ENSSSCG00000013004,ENSSSCG00000039148,ENSSSCG00000002351,ENSSSCG00000016613,ENSSSCG00000021227,ENSSSCG00000014110,ENSSSCG00000011700,ENSSSCG00000005970,ENSSSCG00000022206,ENSSSCG00000013729,ENSSSCG00000001090,ENSSSCG00000009667,ENSSSCG00000017297,ENSSSCG00000029570,ENSSSCG00000017996,ENSSSCG00000014219,ENSSSCG00000023749,ENSSSCG00000040296,ENSSSCG00000017781,ENSSSCG00000010780,ENSSSCG00000010258,ENSSSCG00000013337,ENSSSCG00000010488,ENSSSCG00000008857,ENSSSCG00000020758,ENSSSCG00000039731,ENSSSCG00000030017,ENSSSCG00000018041,ENSSSCG00000002913,ENSSSCG00000021767,ENSSSCG00000024750,ENSSSCG00000024752,ENSSSCG00000027439,ENSSSCG00000026004,ENSSSCG00000002269,ENSSSCG00000024537,ENSSSCG00000023472,ENSSSCG00000003006,ENSSSCG00000010826,ENSSSCG00000010829,ENSSSCG00000016519,ENSSSCG00000004679,ENSSSCG00000012327,ENSSSCG00000009942,ENSSSCG00000017126
GO:0010951	1.68887048195036e-12	1.04963300453215e-09	29	80	negative regulation of endopeptidase activity	BP	ENSSSCG00000000660,ENSSSCG00000013551,ENSSSCG00000024402,ENSSSCG00000011799,ENSSSCG00000015493,ENSSSCG00000011450,ENSSSCG00000021328,ENSSSCG00000013665,ENSSSCG00000011129,ENSSSCG00000011128,ENSSSCG00000011800,ENSSSCG00000011801,ENSSSCG00000011802,ENSSSCG00000005512,ENSSSCG00000030371,ENSSSCG00000002481,ENSSSCG00000002483,ENSSSCG00000002486,ENSSSCG00000002487,ENSSSCG00000010093,ENSSSCG00000012022,ENSSSCG00000027801,ENSSSCG00000005485,ENSSSCG00000027331,ENSSSCG00000002475,ENSSSCG00000002476,ENSSSCG00000002479,ENSSSCG00000008504,ENSSSCG00000017164
GO:0016491	2.74146282743676e-12	1.51450590866840e-09	70	347	oxidoreductase activity	MF	ENSSSCG00000016199,ENSSSCG00000027525,ENSSSCG00000004093,ENSSSCG00000028996,ENSSSCG00000015616,ENSSSCG00000004454,ENSSSCG00000006702,ENSSSCG00000000681,ENSSSCG00000009889,ENSSSCG00000009184,ENSSSCG00000009182,ENSSSCG00000028115,ENSSSCG00000003138,ENSSSCG00000027854,ENSSSCG00000000046,ENSSSCG00000003891,ENSSSCG00000023211,ENSSSCG00000023215,ENSSSCG00000003158,ENSSSCG00000017690,ENSSSCG00000008522,ENSSSCG00000015535,ENSSSCG00000025686,ENSSSCG00000002296,ENSSSCG00000008868,ENSSSCG00000004822,ENSSSCG00000010546,ENSSSCG00000001901,ENSSSCG00000029944,ENSSSCG00000015872,ENSSSCG00000009699,ENSSSCG00000003491,ENSSSCG00000017383,ENSSSCG00000003780,ENSSSCG00000015844,ENSSSCG00000005740,ENSSSCG00000024109,ENSSSCG00000026554,ENSSSCG00000022351,ENSSSCG00000015356,ENSSSCG00000016613,ENSSSCG00000014110,ENSSSCG00000011700,ENSSSCG00000022206,ENSSSCG00000013729,ENSSSCG00000001090,ENSSSCG00000009667,ENSSSCG00000017996,ENSSSCG00000040296,ENSSSCG00000017781,ENSSSCG00000010780,ENSSSCG00000010258,ENSSSCG00000013337,ENSSSCG00000010488,ENSSSCG00000008857,ENSSSCG00000020758,ENSSSCG00000030017,ENSSSCG00000018041,ENSSSCG00000002913,ENSSSCG00000021767,ENSSSCG00000024750,ENSSSCG00000024752,ENSSSCG00000027439,ENSSSCG00000024537,ENSSSCG00000023472,ENSSSCG00000003006,ENSSSCG00000016519,ENSSSCG00000004679,ENSSSCG00000012327,ENSSSCG00000009942
GO:0005509	3.03731252088458e-11	1.51015178538382e-08	91	528	calcium ion binding	MF	ENSSSCG00000025176,ENSSSCG00000029503,ENSSSCG00000004578,ENSSSCG00000023371,ENSSSCG00000007058,ENSSSCG00000016290,ENSSSCG00000024252,ENSSSCG00000022209,ENSSSCG00000002642,ENSSSCG00000040125,ENSSSCG00000013556,ENSSSCG00000010144,ENSSSCG00000010142,ENSSSCG00000027550,ENSSSCG00000026140,ENSSSCG00000022390,ENSSSCG00000006403,ENSSSCG00000012971,ENSSSCG00000007115,ENSSSCG00000006390,ENSSSCG00000002555,ENSSSCG00000016157,ENSSSCG00000016192,ENSSSCG00000000854,ENSSSCG00000003156,ENSSSCG00000010283,ENSSSCG00000017012,ENSSSCG00000029949,ENSSSCG00000011609,ENSSSCG00000015872,ENSSSCG00000004789,ENSSSCG00000015336,ENSSSCG00000012711,ENSSSCG00000005030,ENSSSCG00000039506,ENSSSCG00000023235,ENSSSCG00000015332,ENSSSCG00000006578,ENSSSCG00000029411,ENSSSCG00000037268,ENSSSCG00000007805,ENSSSCG00000013252,ENSSSCG00000022739,ENSSSCG00000011806,ENSSSCG00000015949,ENSSSCG00000011325,ENSSSCG00000003722,ENSSSCG00000017422,ENSSSCG00000008397,ENSSSCG00000021084,ENSSSCG00000010301,ENSSSCG00000029189,ENSSSCG00000017583,ENSSSCG00000009558,ENSSSCG00000002684,ENSSSCG00000016848,ENSSSCG00000000675,ENSSSCG00000003514,ENSSSCG00000001440,ENSSSCG00000014117,ENSSSCG00000003410,ENSSSCG00000010639,ENSSSCG00000013545,ENSSSCG00000021250,ENSSSCG00000038323,ENSSSCG00000008101,ENSSSCG00000011441,ENSSSCG00000009222,ENSSSCG00000039710,ENSSSCG00000024823,ENSSSCG00000023693,ENSSSCG00000027472,ENSSSCG00000010293,ENSSSCG00000010291,ENSSSCG00000010926,ENSSSCG00000024800,ENSSSCG00000034386,ENSSSCG00000009134,ENSSSCG00000007424,ENSSSCG00000020963,ENSSSCG00000025652,ENSSSCG00000000138,ENSSSCG00000012985,ENSSSCG00000009097,ENSSSCG00000012852,ENSSSCG00000007799,ENSSSCG00000017082,ENSSSCG00000004012,ENSSSCG00000005267,ENSSSCG00000009565,ENSSSCG00000004658
